name,team,bib_number,height,weight,speciality_one_day_races,speciality_gc,speciality_time_trial,speciality_sprint,speciality_climber,speciality_hills,year_edition,age,bmi
WOODS Michael,Israel - Premier Tech (PRT),107.0,1.75,62.0,3257,2295,40,188,4494,1787,2025,39,20.244897959183675
LUTSENKO Alexey,Israel - Premier Tech (PRT),107.0,1.74,74.0,2420,3216,1121,972,2690,1676,2025,33,24.441802087462015
STEWART Jake,Israel - Premier Tech (PRT),107.0,1.79,66.0,529,427,28,533,115,800,2025,26,20.598608033457133
BENNETT George,Israel - Premier Tech (PRT),107.0,1.81,58.0,869,3482,266,86,2902,1084,2025,35,17.70397729007051
BURGAUDEAU Mathieu,Team TotalEnergies (PRT),107.0,1.68,61.0,761,513,28,18,572,782,2025,27,21.612811791383223
ALAPHILIPPE Julian,Tudor Pro Cycling Team (PRT),107.0,1.73,62.0,6670,2738,1430,774,5331,4658,2025,33,20.715693808680545
CORT Magnus,Uno-X Mobility (PRT),107.0,1.84,68.0,1646,1453,825,1095,1188,2688,2025,32,20.085066162570886
WÆRENSKJOLD Søren,Uno-X Mobility (PRT),107.0,1.95,92.0,802,625,810,581,28,315,2025,25,24.194608809993426
LEKNESSUND Andreas,Uno-X Mobility (PRT),107.0,1.86,72.0,313,996,535,4,640,314,2025,26,20.811654526534856
JOHANNESSEN Tobias Halland,Uno-X Mobility (PRT),107.0,1.76,62.0,767,1123,61,28,1142,917,2025,26,20.015495867768596
JOHANNESSEN Anders Halland,Uno-X Mobility (PRT),107.0,1.76,,94,339,31,28,183,122,2025,26,
ABRAHAMSEN Jonas,Uno-X Mobility (PRT),107.0,1.83,78.0,677,149,11,292,86,242,2025,30,23.291229956104985
HOELGAARD Markus,Uno-X Mobility (PRT),107.0,1.88,74.0,784,764,24,158,278,764,2025,31,20.937075599818925
FREDHEIM Stian,Uno-X Mobility (PRT),107.0,1.84,72.0,410,20,0,394,4,119,2025,22,21.266540642722116
