year_edition,name,rider_url,team,team_url,bib_number,nationality,birthdate,place_of_birth,height,weight,current_pcs_rank,current_uci_world_rank,speciality_one_day_races,speciality_gc,speciality_time_trial,speciality_sprint,speciality_climber,speciality_hills
2014,DELAGE Mickaël,mickael-delage,FDJ.fr  (WT),team/fdj.fr-2014,123,FR,1985-8-6,Libourne,1.8,70.0,,,904,705,18,98,64,139
2014,JEANNESSON Arnold,arnold-jeannesson,FDJ.fr  (WT),team/fdj.fr-2014,124,FR,1986-1-16,Paris,1.82,65.0,,,402,1021,123,33,771,516
2014,LADAGNOUS Matthieu,matthieu-ladagnous,FDJ.fr  (WT),team/fdj.fr-2014,125,FR,1984-12-12,Pau,1.82,73.0,,,1441,1455,232,167,160,343
2014,PINEAU Cédric,cedric-pineau,FDJ.fr  (WT),team/fdj.fr-2014,126,FR,1985-5-8,Migennes,1.77,68.0,,,562,426,15,4,43,22
2014,PINOT Thibaut,thibaut-pinot,FDJ.fr  (WT),team/fdj.fr-2014,127,FR,1990-5-29,Lure,1.8,63.0,,,1919,6908,1547,4,7740,1538
2014,ROY Jérémy,jeremy-roy,FDJ.fr  (WT),team/fdj.fr-2014,128,FR,1983-6-22,Tours,1.86,70.0,,,533,1233,1404,131,360,284
2014,VICHOT Arthur,arthur-vichot,FDJ.fr  (WT),team/fdj.fr-2014,129,FR,1988-11-26,Colombier-Fontaine,1.84,74.0,,,1729,1246,218,21,616,1024
2014,VAN DEN BROECK Jurgen,jurgen-van-den-broeck,Lotto Belisol  (WT),team/lotto-belisol-2014,131,BE,1983-2-1,Herentals,1.85,69.0,,,432,3710,1424,33,2442,924
2014,BAK Lars Ytting,lars-ytting-bak,Lotto Belisol  (WT),team/lotto-belisol-2014,132,DK,1980-1-16,Silkeborg,1.9,76.0,,,1189,2286,963,83,423,362
2014,DE CLERCQ Bart,bart-de-clercq,Lotto Belisol  (WT),team/lotto-belisol-2014,133,BE,1986-8-26,Zottegem,1.83,67.0,,,110,1052,179,0,866,248
2014,GALLOPIN Tony,tony-gallopin,Lotto Belisol  (WT),team/lotto-belisol-2014,134,FR,1988-5-24, Dourdan,1.81,69.0,,,3129,2384,1086,161,2265,2392
2014,GREIPEL André,andre-greipel,Lotto Belisol  (WT),team/lotto-belisol-2014,135,DE,1982-7-16,Rostock,1.84,80.0,,,4643,1935,529,5032,278,2225
2014,HANSEN Adam,adam-hansen,Lotto Belisol  (WT),team/lotto-belisol-2014,136,AU,1981-5-11,Cairns,1.85,72.0,,,308,1228,287,4,376,303
2014,HENDERSON Gregory,gregory-henderson,Lotto Belisol  (WT),team/lotto-belisol-2014,137,NZ,1976-9-10,Dunedin,1.87,75.0,,,828,679,719,441,79,197
2014,ROELANDTS Jürgen,jurgen-roelandts,Lotto Belisol  (WT),team/lotto-belisol-2014,138,BE,1985-7-2, Asse,1.84,78.0,,,3248,1261,589,760,268,1159
2014,SIEBERG Marcel,marcel-sieberg,Lotto Belisol  (WT),team/lotto-belisol-2014,139,DE,1982-4-30,Castrop-Rauxel,1.98,80.0,,,1561,539,353,78,30,152
2014,VAN GARDEREN Tejay,tejay-van-garderen,BMC Racing Team (WT),team/bmc-racing-team-2014,141,US,1988-8-12,Tacoma,1.86,72.0,,,147,5164,3409,27,3011,1127
2014,ATAPUMA Darwin,darwin-atapuma,BMC Racing Team (WT),team/bmc-racing-team-2014,142,CO,1988-1-15,Túquerres,1.68,59.0,,,179,1414,28,1,1328,142
2014,BURGHARDT Marcus,marcus-burghardt,BMC Racing Team (WT),team/bmc-racing-team-2014,143,DE,1983-6-30,Zschopau,1.89,75.0,,,1633,722,180,78,128,548
2014,MOINARD Amaël,amael-moinard,BMC Racing Team (WT),team/bmc-racing-team-2014,144,FR,1982-2-2,Cherbourg,1.8,69.0,,,360,1396,133,0,597,212
2014,OSS Daniel,daniel-oss,BMC Racing Team (WT),team/bmc-racing-team-2014,145,IT,1987-1-13,Trento,1.91,75.0,,,1298,735,423,400,246,938
2014,SCHÄR Michael,michael-schar,BMC Racing Team (WT),team/bmc-racing-team-2014,146,CH,1986-9-29,Geuensee,1.98,78.0,,,802,971,154,18,116,180
2014,STETINA Peter,peter-stetina,BMC Racing Team (WT),team/bmc-racing-team-2014,147,US,1987-8-8,Boulder,1.8,63.0,,,299,1036,65,8,534,138
2014,VAN AVERMAET Greg,greg-van-avermaet,BMC Racing Team (WT),team/bmc-racing-team-2014,148,BE,1985-5-17,Lokeren,1.81,74.0,,,11652,3805,577,1339,3438,6051
2014,VELITS Peter,peter-velits,BMC Racing Team (WT),team/bmc-racing-team-2014,149,SK,1985-2-21,Bratislava,1.81,63.0,,,1029,1575,1511,17,919,967
2014,ROLLAND Pierre,pierre-rolland,Team Europcar (WT),team/team-europcar-2014,151,FR,1986-10-10, Gien,1.84,70.0,,,502,3339,250,20,3300,642
2014,ARASHIRO Yukiya,yukiya-arashiro,Team Europcar (WT),team/team-europcar-2014,152,JP,1984-9-22,Ishigaki,1.7,64.0,,,1753,1228,270,178,246,413
2014,COQUARD Bryan,bryan-coquard,Team Europcar (WT),team/team-europcar-2014,153,FR,1992-4-25,Saint-Nazaire,1.71,59.0,,87.0,3161,1240,289,3304,210,2571
2014,GAUTIER Cyril,cyril-gautier,Team Europcar (WT),team/team-europcar-2014,154,FR,1987-9-26,Plouagat,1.69,65.0,,,1492,1018,95,40,780,726
2014,GÈNE Yohann,yohann-gene,Team Europcar (WT),team/team-europcar-2014,155,FR,1981-6-25,Pointe-à-Pitre,1.75,67.0,,,329,534,46,204,16,24
2014,PICHOT Alexandre,alexandre-pichot,Team Europcar (WT),team/team-europcar-2014,156,FR,1983-1-6,Caen,1.83,72.0,,,632,334,13,43,50,202
2014,QUÉMÉNEUR Perrig,perrig-quemeneur,Team Europcar (WT),team/team-europcar-2014,157,FR,1984-4-26,Landerneau,1.81,67.0,,,153,351,60,0,142,46
2014,REZA Kévin,kevin-reza,Team Europcar (WT),team/team-europcar-2014,158,FR,1988-5-18,Versailles,1.86,71.0,,,402,231,47,124,148,816
2014,VOECKLER Thomas,thomas-voeckler,Team Europcar (WT),team/team-europcar-2014,159,FR,1979-6-22,Schiltigheim,1.74,71.0,,,3202,3209,566,181,1965,1025
2014,SCHLECK Fränk,frank-schleck,Trek Factory Racing  (WT),team/trek-factory-racing-2014,161,LU,1980-4-15,Luxembourg,1.86,65.0,,,3419,5144,683,11,3843,734
2014,BUSCHE Matthew,matthew-busche,Trek Factory Racing  (WT),team/trek-factory-racing-2014,162,US,1985-5-9,Wauwatosa,1.74,69.0,,,189,737,186,0,239,48
2014,CANCELLARA Fabian,fabian-cancellara,Trek Factory Racing  (WT),team/trek-factory-racing-2014,163,CH,1981-3-18,Wohlen bei Bern,1.86,80.0,,,6865,1866,12014,1352,388,2364
2014,IRIZAR Markel,markel-irizar,Trek Factory Racing  (WT),team/trek-factory-racing-2014,164,ES,1980-2-5,Oñati,1.82,73.0,,,246,832,923,1,24,117
2014,RAST Grégory,gregory-rast,Trek Factory Racing  (WT),team/trek-factory-racing-2014,165,CH,1980-1-17,Cham,1.86,80.0,,,1769,919,403,96,37,238
